epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3803.76,0.89095,0.28188,0.0071,0.96451,0.96685,0.99143,0.73925,0.41476,0.13588,0.00542,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3909.2,0.88577,0.28544,0.00712,0.99435,0.9723,0.99354,0.7458,0.40596,0.11491,0.00525,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,4014.87,0.89015,0.27439,0.00709,0.99812,0.97781,0.9942,0.74543,0.41125,0.11279,0.00535,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,4120.5,0.87747,0.27052,0.007,0.99626,0.98141,0.99473,0.74753,0.41701,0.11359,0.00551,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,4225.75,0.87472,0.26347,0.00701,0.99442,0.98469,0.9946,0.75745,0.41133,0.11302,0.00537,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,4331.3,0.86416,0.26773,0.00685,0.99999,0.98158,0.99466,0.7423,0.4164,0.11012,0.0055,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,4437,0.84623,0.25884,0.00672,0.99611,0.97974,0.9946,0.74305,0.4175,0.11504,0.00545,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,4542.37,0.85601,0.26298,0.00681,0.99436,0.97447,0.9941,0.76137,0.40911,0.11734,0.0054,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,4648.14,0.84579,0.27431,0.00676,0.99253,0.96317,0.99285,0.73758,0.42395,0.12279,0.00553,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,4753.65,0.82145,0.26939,0.00652,0.99439,0.97868,0.99056,0.73338,0.41807,0.13156,0.00543,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,4859.3,0.82055,0.25655,0.00648,0.99625,0.97841,0.99441,0.73344,0.42849,0.12132,0.0057,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4964.68,0.81924,0.2566,0.0065,0.99783,0.97974,0.9946,0.75371,0.41525,0.11263,0.00549,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
